"productid","productname","Category","SubCategory","Sales","Quantity","Stockid","name","rating","location","noofemployees","CustomerID_1","customername","SpendingScore","AnnualIncomek","gender","age","customertype","Invoiceid","Description","InvoiceDate","Price","Country"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536366,"BergdorfGoodman",3,"UnitedKingdom",3200,17850,"DAVID",96,1400,"Male",32,"citizen","22633","HANDWARMERUNIONJACK",1212010828,185,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536369,"HudsonBayCompany",4,"UnitedKingdom",6000,13047,"ALEX",66,1900,"Male",22,"citizen","21756","BATHBUILDINGBLOCKWORD",1212010835,595,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536375,"LaVogueDepartmentStore",5,"UnitedKingdom",7000,17850,"DAVID",96,1400,"Male",32,"citizen","37370","RETROCOFFEEMUGSASSORTED",1212010932,106,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536375,"LaVogueDepartmentStore",5,"UnitedKingdom",7000,17850,"DAVID",96,1400,"Male",32,"citizen","21871","SAVETHEPLANETMUG",1212010932,106,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536375,"LaVogueDepartmentStore",5,"UnitedKingdom",7000,17850,"DAVID",96,1400,"Male",32,"citizen","21071","VINTAGEBILLBOARDDRINKMEMUG",1212010932,106,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536375,"LaVogueDepartmentStore",5,"UnitedKingdom",7000,17850,"DAVID",96,1400,"Male",32,"citizen","21068","VINTAGEBILLBOARDLOVEHATEMUG",1212010932,106,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","85099C","JUMBOBAGBAROQUEBLACKWHITE",1212010937,195,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","21033","JUMBOBAGCHARLIEANDLOLATOYS",1212010937,295,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","20723","STRAWBERRYCHARLOTTEBAG",1212010937,85,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","84997B","RED3PIECERETROSPOTCUTLERYSET",1212010937,375,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","84997C","BLUE3PIECEPOLKADOTCUTLERYSET",1212010937,375,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","21094","SET6REDSPOTTYPAPERPLATES",1212010937,85,"UnitedKingdom"
1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536378,"Murphy",5,"UnitedKingdom",10000,14688,"ROMARIO",30,1000,"Male",29,"foriegn","20725","LUNCHBAGREDRETROSPOT",1212010937,165,"UnitedKingdom"
